T,V,
-0.1986,0.01,0
-0.1984,0.006,0
-0.1982,-0.016,0.2
-0.198,0,0
-0.1978,0.01,0
-0.1976,0.01,0
-0.1974,-0.006,0
-0.1972,0.004,0
-0.197,0,0
-0.1968,-0.002,0
-0.1966,-0.024,0
-0.1964,0.016,0
-0.1962,0.03,0
-0.196,0.004,0
-0.1958,-0.006,0
-0.1956,0,-0.2
-0.1954,-0.01,0
-0.1952,0.002,0
-0.195,0.01,0
-0.1948,-0.002,0
-0.1946,0.01,0
-0.1944,-0.024,0
-0.1942,-0.014,0
-0.194,-0.016,0
-0.1938,0.022,0
-0.1936,0.002,0
-0.1934,0.008,0
-0.1932,-0.01,0
-0.193,-0.004,0
-0.1928,0.016,0
-0.1926,-0.008,0
-0.1924,0.016,0
-0.1922,-0.004,0
-0.192,-0.016,0
-0.1918,0.008,0
-0.1916,-0.002,0
-0.1914,-0.002,0
-0.1912,-0.016,0
-0.191,-0.006,0
-0.1908,0.016,0.2
-0.1906,-0.008,0
-0.1904,0.032,0.2
-0.1902,-0.008,0
-0.19,0.002,0.2
-0.1898,-0.014,0
-0.1896,0.024,0
-0.1894,-0.026,0
-0.1892,0.024,0
-0.189,-0.024,0.2
-0.1888,0.012,0
-0.1886,-0.02,0.2
-0.1884,0.008,0
-0.1882,-0.01,0
-0.188,0.014,0
-0.1878,-0.008,0.2
-0.1876,0.002,0
-0.1874,-0.028,0
-0.1872,0.004,0
-0.187,-0.014,0
-0.1868,-0.01,0
-0.1866,-0.006,0
-0.1864,-0.02,0
-0.1862,-0.012,0
-0.186,-0.01,0
-0.1858,0.012,0
-0.1856,-0.008,0
-0.1854,-0.002,0
-0.1852,0.002,0
-0.185,-0.018,0.2
-0.1848,-0.01,-0.2
-0.1846,0.002,0
-0.1844,0.016,0
-0.1842,0,0
-0.184,-0.008,-0.2
-0.1838,0.002,0
-0.1836,0,0
-0.1834,0.006,0
-0.1832,-0.004,0
-0.183,-0.006,0
-0.1828,0.006,0
-0.1826,-0.028,0
-0.1824,-0.004,0
-0.1822,0.018,0
-0.182,0.004,0
-0.1818,0.008,0
-0.1816,0.018,0
-0.1814,0.004,0
-0.1812,-0.004,0
-0.181,-0.006,0
-0.1808,0.014,0
-0.1806,-0.012,0
-0.1804,0.054,0
-0.1802,-0.006,0
-0.18,0.016,0
-0.1798,-0.022,0.2
-0.1796,0.048,0
-0.1794,-0.018,0
-0.1792,0.02,0
-0.179,-0.036,0
-0.1788,0.038,0
-0.1786,-0.026,0
-0.1784,0,0
-0.1782,0.002,0
-0.178,0.004,0
-0.1778,0.008,0
-0.1776,0.002,0
-0.1774,-0.02,0
-0.1772,0.002,-0.2
-0.177,-0.01,0
-0.1768,-0.014,0
-0.1766,-0.024,0
-0.1764,-0.012,0
-0.1762,-0.018,0
-0.176,0.006,0.2
-0.1758,0.028,0
-0.1756,0.012,-0.2
-0.1754,0.004,0
-0.1752,-0.014,0
-0.175,-0.002,0
